itemA,itemB,lift
"0% Greek, Blueberry on the Bottom Yogurt",Nonfat Strawberry With Fruit On The Bottom Greek Yogurt,4.023307097678093
Baby Food Pouch - Roasted Carrot Spinach & Beans,"Baby Food Pouch - Butternut Squash, Carrot & Chickpea",5.236392261952594
Compostable Forks,Plastic Spoons,3.4555312155661264
Grain Free Chicken Formula Cat Food,Grain Free Turkey Formula Cat Food,6.0821613203226494
Grain Free Chicken Formula Cat Food,Grain Free Turkey & Salmon Formula Cat Food,4.221424713951931
"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Essential Tots Spinach, Kiwi, Barley & Greek Yogurt Nutrition Blend",4.035034752952325
"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",3.224244794616227
"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Essential Tots Spinach, Kiwi, Barley & Greek Yogurt Nutrition Blend",3.5416668548917487
Nonfat Strawberry With Fruit On The Bottom Greek Yogurt,"0% Greek, Blueberry on the Bottom Yogurt",5.377181867055484
Oh My Yog! Pacific Coast Strawberry Trilayer Yogurt,Oh My Yog! Organic Wild Quebec Blueberry Cream Top Yogurt & Fruit,4.061443054435653
Organic Fruit Yogurt Smoothie Mixed Berry,Apple Blueberry Fruit Yogurt Smoothie,5.603028127257877
Organic Grapefruit Ginger Sparkling Yerba Mate,Cranberry Pomegranate Sparkling Yerba Mate,5.3723845742726395
Organic Mango Yogurt,Organic Whole Milk Washington Black Cherry Yogurt,4.12357734749652
Organic Stage 2 Carrots Baby Food,Organic Stage 2 Winter Squash Baby Food Puree,3.3981519064923322
Organic Strawberry Chia Lowfat 2% Cottage Cheese,Organic Cottage Cheese Blueberry Acai Chia,9.318959635160345
Raspberry Essence Water,Unsweetened Pomegranate Essence Water,4.197145278609808
Sweet Potatoes Stage 2,Organic Stage 2 Winter Squash Baby Food Puree,3.5495243547471538
Uncured Cracked Pepper Beef,Chipotle Beef & Pork Realstick,4.985446987185669
Unsweetened Blackberry Water,Unsweetened Pomegranate Essence Water,3.6797963318784626
Unsweetened Whole Milk Blueberry Greek Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,3.253292630833821
Unsweetened Whole Milk Blueberry Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,3.3121757553738
Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Blueberry Greek Yogurt,4.956543128432691
Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,3.914004704301075
Unsweetened Whole Milk Mixed Berry Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,3.6167172033611545
Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Strawberry Yogurt,3.963701756143161
Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Blueberry Greek Yogurt,3.982321791804986
Unsweetened Whole Milk Peach Greek Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,3.8410162715868355
Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Peach Greek Yogurt,3.4626300247061956
Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Mixed Berry Greek Yogurt,3.245318370742161
Unsweetened Whole Milk Strawberry Yogurt,Unsweetened Whole Milk Blueberry Greek Yogurt,4.045270655896534
