,season,city,team1,team2
0,2017,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
1,2017,Pune,Mumbai Indians,Rising Pune Supergiant
2,2017,Rajkot,Gujarat Lions,Kolkata Knight Riders
3,2017,Indore,Rising Pune Supergiant,Kings XI Punjab
4,2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils
5,2017,Hyderabad,Gujarat Lions,Sunrisers Hyderabad
6,2017,Mumbai,Kolkata Knight Riders,Mumbai Indians
7,2017,Indore,Royal Challengers Bangalore,Kings XI Punjab
8,2017,Pune,Delhi Daredevils,Rising Pune Supergiant
9,2017,Mumbai,Sunrisers Hyderabad,Mumbai Indians
10,2017,Kolkata,Kings XI Punjab,Kolkata Knight Riders
11,2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians
12,2017,Rajkot,Rising Pune Supergiant,Gujarat Lions
13,2017,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
14,2017,Delhi,Delhi Daredevils,Kings XI Punjab
15,2017,Mumbai,Gujarat Lions,Mumbai Indians
16,2017,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore
17,2017,Delhi,Delhi Daredevils,Kolkata Knight Riders
18,2017,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab
19,2017,Rajkot,Royal Challengers Bangalore,Gujarat Lions
20,2017,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils
21,2017,Indore,Kings XI Punjab,Mumbai Indians
22,2017,Kolkata,Kolkata Knight Riders,Gujarat Lions
23,2017,Mumbai,Mumbai Indians,Delhi Daredevils
24,2017,Pune,Sunrisers Hyderabad,Rising Pune Supergiant
25,2017,Rajkot,Kings XI Punjab,Gujarat Lions
26,2017,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
27,2017,Mumbai,Rising Pune Supergiant,Mumbai Indians
28,2017,Pune,Rising Pune Supergiant,Kolkata Knight Riders
29,2017,Bangalore,Royal Challengers Bangalore,Gujarat Lions
30,2017,Kolkata,Delhi Daredevils,Kolkata Knight Riders
31,2017,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab
32,2017,Pune,Rising Pune Supergiant,Royal Challengers Bangalore
33,2017,Rajkot,Gujarat Lions,Mumbai Indians
34,2017,Chandigarh,Delhi Daredevils,Kings XI Punjab
35,2017,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
36,2017,Mumbai,Royal Challengers Bangalore,Mumbai Indians
37,2017,Pune,Gujarat Lions,Rising Pune Supergiant
38,2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils
39,2017,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant
40,2017,Delhi,Gujarat Lions,Delhi Daredevils
41,2017,Bangalore,Kings XI Punjab,Royal Challengers Bangalore
42,2017,Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad
43,2017,Delhi,Mumbai Indians,Delhi Daredevils
44,2017,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders
45,2017,Chandigarh,Kings XI Punjab,Gujarat Lions
46,2017,Hyderabad,Mumbai Indians,Sunrisers Hyderabad
47,2017,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
48,2017,Kanpur,Gujarat Lions,Delhi Daredevils
49,2017,Mumbai,Kings XI Punjab,Mumbai Indians
50,2017,Delhi,Delhi Daredevils,Rising Pune Supergiant
51,2017,Kanpur,Gujarat Lions,Sunrisers Hyderabad
52,2017,Kolkata,Mumbai Indians,Kolkata Knight Riders
53,2017,Pune,Kings XI Punjab,Rising Pune Supergiant
54,2017,Delhi,Royal Challengers Bangalore,Delhi Daredevils
55,2017,Mumbai,Rising Pune Supergiant,Mumbai Indians
57,2017,Bangalore,Kolkata Knight Riders,Mumbai Indians
58,2017,Hyderabad,Mumbai Indians,Rising Pune Supergiant
59,2008,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
60,2008,Chandigarh,Chennai Super Kings,Kings XI Punjab
61,2008,Delhi,Rajasthan Royals,Delhi Daredevils
62,2008,Mumbai,Mumbai Indians,Royal Challengers Bangalore
63,2008,Kolkata,Deccan Chargers,Kolkata Knight Riders
64,2008,Jaipur,Kings XI Punjab,Rajasthan Royals
65,2008,Hyderabad,Deccan Chargers,Delhi Daredevils
66,2008,Chennai,Chennai Super Kings,Mumbai Indians
67,2008,Hyderabad,Deccan Chargers,Rajasthan Royals
68,2008,Chandigarh,Kings XI Punjab,Mumbai Indians
69,2008,Bangalore,Royal Challengers Bangalore,Rajasthan Royals
70,2008,Chennai,Kolkata Knight Riders,Chennai Super Kings
71,2008,Mumbai,Mumbai Indians,Deccan Chargers
72,2008,Chandigarh,Delhi Daredevils,Kings XI Punjab
73,2008,Bangalore,Chennai Super Kings,Royal Challengers Bangalore
74,2008,Kolkata,Kolkata Knight Riders,Mumbai Indians
75,2008,Delhi,Delhi Daredevils,Royal Challengers Bangalore
76,2008,Hyderabad,Deccan Chargers,Kings XI Punjab
77,2008,Jaipur,Rajasthan Royals,Kolkata Knight Riders
78,2008,Chennai,Chennai Super Kings,Delhi Daredevils
79,2008,Hyderabad,Deccan Chargers,Royal Challengers Bangalore
80,2008,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
81,2008,Mumbai,Mumbai Indians,Delhi Daredevils
82,2008,Jaipur,Chennai Super Kings,Rajasthan Royals
83,2008,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
84,2008,Chennai,Chennai Super Kings,Deccan Chargers
85,2008,Mumbai,Rajasthan Royals,Mumbai Indians
86,2008,Delhi,Delhi Daredevils,Chennai Super Kings
87,2008,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
88,2008,Jaipur,Deccan Chargers,Rajasthan Royals
89,2008,Bangalore,Royal Challengers Bangalore,Mumbai Indians
90,2008,Chennai,Chennai Super Kings,Kings XI Punjab
91,2008,Hyderabad,Kolkata Knight Riders,Deccan Chargers
92,2008,Jaipur,Delhi Daredevils,Rajasthan Royals
93,2008,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab
94,2008,Kolkata,Kolkata Knight Riders,Delhi Daredevils
95,2008,Mumbai,Chennai Super Kings,Mumbai Indians
96,2008,Chandigarh,Kings XI Punjab,Rajasthan Royals
97,2008,Delhi,Delhi Daredevils,Deccan Chargers
98,2008,Mumbai,Kolkata Knight Riders,Mumbai Indians
100,2008,Jaipur,Rajasthan Royals,Royal Challengers Bangalore
101,2008,Hyderabad,Mumbai Indians,Deccan Chargers
103,2008,Bangalore,Royal Challengers Bangalore,Delhi Daredevils
104,2008,Kolkata,Kolkata Knight Riders,Rajasthan Royals
105,2008,Mumbai,Kings XI Punjab,Mumbai Indians
106,2008,Chennai,Royal Challengers Bangalore,Chennai Super Kings
107,2008,Chandigarh,Deccan Chargers,Kings XI Punjab
108,2008,Delhi,Mumbai Indians,Delhi Daredevils
109,2008,Chennai,Rajasthan Royals,Chennai Super Kings
110,2008,Bangalore,Royal Challengers Bangalore,Deccan Chargers
111,2008,Kolkata,Kings XI Punjab,Kolkata Knight Riders
112,2008,Jaipur,Mumbai Indians,Rajasthan Royals
113,2008,Hyderabad,Deccan Chargers,Chennai Super Kings
114,2008,Mumbai,Rajasthan Royals,Delhi Daredevils
115,2008,Mumbai,Kings XI Punjab,Chennai Super Kings
116,2008,Mumbai,Chennai Super Kings,Rajasthan Royals
117,2009,Cape Town,Mumbai Indians,Chennai Super Kings
118,2009,Cape Town,Royal Challengers Bangalore,Rajasthan Royals
120,2009,Cape Town,Kolkata Knight Riders,Deccan Chargers
121,2009,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore
123,2009,Cape Town,Deccan Chargers,Royal Challengers Bangalore
124,2009,Durban,Delhi Daredevils,Chennai Super Kings
125,2009,Cape Town,Rajasthan Royals,Kolkata Knight Riders
126,2009,Durban,Royal Challengers Bangalore,Kings XI Punjab
127,2009,Durban,Deccan Chargers,Mumbai Indians
128,2009,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils
129,2009,Cape Town,Kings XI Punjab,Rajasthan Royals
130,2009,Durban,Chennai Super Kings,Deccan Chargers
131,2009,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders
132,2009,Centurion,Delhi Daredevils,Rajasthan Royals
133,2009,Durban,Kolkata Knight Riders,Royal Challengers Bangalore
134,2009,Durban,Kings XI Punjab,Mumbai Indians
135,2009,Centurion,Deccan Chargers,Delhi Daredevils
136,2009,Centurion,Chennai Super Kings,Rajasthan Royals
137,2009,East London,Mumbai Indians,Kolkata Knight Riders
138,2009,Durban,Royal Challengers Bangalore,Kings XI Punjab
139,2009,Port Elizabeth,Deccan Chargers,Rajasthan Royals
140,2009,Johannesburg,Chennai Super Kings,Delhi Daredevils
141,2009,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab
142,2009,Johannesburg,Mumbai Indians,Royal Challengers Bangalore
143,2009,East London,Chennai Super Kings,Deccan Chargers
144,2009,Durban,Rajasthan Royals,Kings XI Punjab
145,2009,Durban,Kolkata Knight Riders,Delhi Daredevils
146,2009,Centurion,Deccan Chargers,Mumbai Indians
147,2009,Centurion,Royal Challengers Bangalore,Rajasthan Royals
149,2009,East London,Mumbai Indians,Delhi Daredevils
150,2009,Kimberley,Deccan Chargers,Kings XI Punjab
151,2009,Kimberley,Rajasthan Royals,Chennai Super Kings
152,2009,Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore
153,2009,Johannesburg,Kolkata Knight Riders,Delhi Daredevils
154,2009,Kimberley,Deccan Chargers,Rajasthan Royals
155,2009,Centurion,Kolkata Knight Riders,Royal Challengers Bangalore
156,2009,Centurion,Kings XI Punjab,Mumbai Indians
157,2009,Durban,Delhi Daredevils,Deccan Chargers
158,2009,Durban,Chennai Super Kings,Royal Challengers Bangalore
159,2009,Durban,Rajasthan Royals,Mumbai Indians
160,2009,Bloemfontein,Delhi Daredevils,Kings XI Punjab
161,2009,Port Elizabeth,Mumbai Indians,Chennai Super Kings
162,2009,Johannesburg,Kolkata Knight Riders,Deccan Chargers
163,2009,Johannesburg,Kings XI Punjab,Deccan Chargers
164,2009,Bloemfontein,Delhi Daredevils,Rajasthan Royals
165,2009,Centurion,Chennai Super Kings,Kolkata Knight Riders
166,2009,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore
167,2009,Durban,Rajasthan Royals,Kolkata Knight Riders
168,2009,Durban,Chennai Super Kings,Kings XI Punjab
169,2009,Centurion,Mumbai Indians,Delhi Daredevils
170,2009,Centurion,Royal Challengers Bangalore,Deccan Chargers
171,2009,Centurion,Delhi Daredevils,Deccan Chargers
172,2009,Johannesburg,Chennai Super Kings,Royal Challengers Bangalore
173,2009,Johannesburg,Deccan Chargers,Royal Challengers Bangalore
174,2010,Mumbai,Kolkata Knight Riders,Deccan Chargers
175,2010,Mumbai,Mumbai Indians,Rajasthan Royals
176,2010,Chandigarh,Kings XI Punjab,Delhi Daredevils
177,2010,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders
178,2010,Chennai,Deccan Chargers,Chennai Super Kings
179,2010,Ahmedabad,Rajasthan Royals,Delhi Daredevils
180,2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore
181,2010,Kolkata,Chennai Super Kings,Kolkata Knight Riders
182,2010,Delhi,Mumbai Indians,Delhi Daredevils
183,2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore
184,2010,Delhi,Delhi Daredevils,Chennai Super Kings
185,2010,Cuttack,Deccan Chargers,Kings XI Punjab
186,2010,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders
187,2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore
188,2010,Cuttack,Deccan Chargers,Delhi Daredevils
189,2010,Chennai,Kings XI Punjab,Chennai Super Kings
190,2010,Mumbai,Kolkata Knight Riders,Mumbai Indians
191,2010,Bangalore,Royal Challengers Bangalore,Chennai Super Kings
192,2010,Chandigarh,Rajasthan Royals,Kings XI Punjab
193,2010,Mumbai,Chennai Super Kings,Mumbai Indians
194,2010,Ahmedabad,Deccan Chargers,Rajasthan Royals
195,2010,Chandigarh,Kolkata Knight Riders,Kings XI Punjab
196,2010,Bangalore,Delhi Daredevils,Royal Challengers Bangalore
197,2010,Ahmedabad,Rajasthan Royals,Chennai Super Kings
198,2010,Mumbai,Mumbai Indians,Deccan Chargers
199,2010,Delhi,Delhi Daredevils,Kolkata Knight Riders
200,2010,Mumbai,Kings XI Punjab,Mumbai Indians
201,2010,Chennai,Royal Challengers Bangalore,Chennai Super Kings
202,2010,Delhi,Delhi Daredevils,Rajasthan Royals
203,2010,Kolkata,Kolkata Knight Riders,Deccan Chargers
204,2010,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore
205,2010,Chennai,Chennai Super Kings,Rajasthan Royals
206,2010,Mumbai,Mumbai Indians,Deccan Chargers
207,2010,Kolkata,Kolkata Knight Riders,Kings XI Punjab
208,2010,Delhi,Delhi Daredevils,Royal Challengers Bangalore
209,2010,Nagpur,Rajasthan Royals,Deccan Chargers
210,2010,Chennai,Chennai Super Kings,Mumbai Indians
211,2010,Jaipur,Kings XI Punjab,Rajasthan Royals
212,2010,Kolkata,Kolkata Knight Riders,Delhi Daredevils
213,2010,Bangalore,Royal Challengers Bangalore,Deccan Chargers
214,2010,Chandigarh,Mumbai Indians,Kings XI Punjab
215,2010,Nagpur,Chennai Super Kings,Deccan Chargers
216,2010,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
217,2010,Delhi,Delhi Daredevils,Kings XI Punjab
218,2010,Jaipur,Mumbai Indians,Rajasthan Royals
219,2010,Nagpur,Deccan Chargers,Royal Challengers Bangalore
220,2010,Mumbai,Mumbai Indians,Delhi Daredevils
221,2010,Chennai,Kolkata Knight Riders,Chennai Super Kings
222,2010,Jaipur,Rajasthan Royals,Royal Challengers Bangalore
223,2010,Chennai,Chennai Super Kings,Delhi Daredevils
224,2010,Dharamsala,Kings XI Punjab,Deccan Chargers
225,2010,Bangalore,Mumbai Indians,Royal Challengers Bangalore
226,2010,Kolkata,Rajasthan Royals,Kolkata Knight Riders
227,2010,Dharamsala,Kings XI Punjab,Chennai Super Kings
228,2010,Delhi,Deccan Chargers,Delhi Daredevils
229,2010,Kolkata,Mumbai Indians,Kolkata Knight Riders
230,2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore
231,2010,Mumbai,Chennai Super Kings,Deccan Chargers
232,2010,Mumbai,Deccan Chargers,Royal Challengers Bangalore
233,2010,Mumbai,Chennai Super Kings,Mumbai Indians
234,2011,Chennai,Chennai Super Kings,Kolkata Knight Riders
235,2011,Hyderabad,Deccan Chargers,Rajasthan Royals
236,2011,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore
237,2011,Delhi,Delhi Daredevils,Mumbai Indians
238,2011,Mumbai,Kings XI Punjab,Pune Warriors
239,2011,Kolkata,Kolkata Knight Riders,Deccan Chargers
240,2011,Jaipur,Delhi Daredevils,Rajasthan Royals
241,2011,Bangalore,Royal Challengers Bangalore,Mumbai Indians
242,2011,Chandigarh,Chennai Super Kings,Kings XI Punjab
243,2011,Mumbai,Kochi Tuskers Kerala,Pune Warriors
